[Heroes Archive] (Data_642_legend11)


Heroes Message Name: Message


MDAID_花のかんざし・金: 花之髮簪・金
MID_MISSION_M201812C_A14: 特殊:突破第8章-第4節(超難)
MID_MISSION_H_M201812C_A14: 我軍內有綠屬性成員，\n且在4人皆生存的狀態下\n過關第8章-第4節(超難)。
MID_MISSION_M201812C_A15: 特殊:突破第8章-第5節(超難)
MID_MISSION_H_M201812C_A15: 我軍内有無屬性成員，\n且在4人皆生存的狀態下\n過關第8章-第5節(超難)。
MID_MISSION_S201812CHARA01_TITLE: 三位英雄
MID_MISSION_S201812CHARA01_A1: 擊敗敵人
MID_MISSION_H_S201812CHARA01_A1: 擊敗敵人。
MID_MISSION_S201812CHARA01_A2: 以奧利薇擊敗敵人
MID_MISSION_H_S201812CHARA01_A2: 以害羞的奧利薇擊敗敵人。
MID_MISSION_S201812CHARA01_A3: 以選擇未來的公主神威擊敗敵人
MID_MISSION_H_S201812CHARA01_A3: 以選擇未來的公主神威擊敗敵人。
MID_MISSION_S201812CHARA01_B1: 特殊:擊敗LV20以上
MID_MISSION_H_S201812CHARA01_B1: 以害羞的奧利薇\n擊敗等級20以上的敵人。
MID_MISSION_S201812CHARA01_B2: 特殊:擊敗LV20以上
MID_MISSION_H_S201812CHARA01_B2: 以選擇未來的公主神威\n擊敗等級20以上的敵人。
MID_MISSION_S201812CHARA01_B3: 特殊:擊敗LV20以上
MID_MISSION_H_S201812CHARA01_B3: 以淺間\n擊敗等級20以上的敵人。
MID_MISSION_S201812CHARA01_C1: 特殊:擊敗LV35以上
MID_MISSION_H_S201812CHARA01_C1: 以害羞的奧利薇\n擊敗等級35以上的敵人。
MID_MISSION_S201812CHARA01_C2: 特殊:擊敗LV35以上
MID_MISSION_H_S201812CHARA01_C2: 以選擇未來的公主神威\n擊敗等級35以上的敵人。
MID_MISSION_S201812CHARA01_C3: 特殊:擊敗LV35以上
MID_MISSION_H_S201812CHARA01_C3: 以淺間\n擊敗等級35以上的敵人。
MID_MISSION_S201812KIZUNA01_TITLE: 羈絆英雄戰
MID_MISSION_S201812KIZUNA01_A1: 特殊:突破羈絆英雄戰
MID_MISSION_H_S201812KIZUNA01_A1: 將亞斯克王國的公主夏蓉編入我軍，\n過關羈絆英雄戰・賽列斯＆尤莉亞。
MID_MISSION_S201812KIZUNA01_A2: 特殊:突破羈絆英雄戰
MID_MISSION_H_S201812KIZUNA01_A2: 將亞斯克王國的王子阿爾馮斯編入我軍，\n過關羈絆英雄戰・賽列斯＆尤莉亞(超難以上)。
MID_MISSION_S201812KIZUNA01_A3: 特殊:擊敗賽列斯
MID_MISSION_H_S201812KIZUNA01_A3: 以亞斯克王國的公主夏蓉\n擊敗等級40以上的賽列斯。
MID_MISSION_S201812KIZUNA01_A4: 特殊:擊敗尤莉亞
MID_MISSION_H_S201812KIZUNA01_A4: 以亞斯克王國的王子阿爾馮斯\n擊敗等級40以上的尤莉亞。
MID_MISSION_S201812KIZUNA01_A5: 特殊:突破羈絆英雄戰
MID_MISSION_H_S201812KIZUNA01_A5: 我軍全員為步行，\n過關羈絆英雄戰・賽列斯＆尤莉亞(超難以上)。
MID_MISSION_S201812VOTE01_TITLE: 投票大戰
MID_MISSION_S201812VOTE01_A1: 在投票大戰獲勝
MID_MISSION_H_S201812VOTE01_A1: 過關投票大戰。
MID_MISSION_S201812VOTE01_A2: 在投票大戰獲勝
MID_MISSION_H_S201812VOTE01_A2: 過關投票大戰。
MID_MISSION_S201812VOTE01_A3: 在投票大戰獲勝
MID_MISSION_H_S201812VOTE01_A3: 過關投票大戰。
MID_MISSION_S201812VOTE01_A4: 在投票大戰獲勝
MID_MISSION_H_S201812VOTE01_A4: 過關投票大戰。
MID_MISSION_S201812VOTE01_A5: 在投票大戰獲勝
MID_MISSION_H_S201812VOTE01_A5: 過關投票大戰。
MID_MISSION_S201812VOTE01_A6: 突破修練之塔・第2層
MID_MISSION_H_S201812VOTE01_A6: 過關修練之塔・第2層。
MID_MISSION_S201812VOTE01_A7: 突破修練之塔・第5層
MID_MISSION_H_S201812VOTE01_A7: 過關修練之塔・第5層。
MID_MISSION_S201812VOTE01_A8: 突破修練之塔・第8層
MID_MISSION_H_S201812VOTE01_A8: 過關修練之塔・第8層。
MID_MISSION_S201812VOTE01_A9: 在鬥技場獲勝
MID_MISSION_H_S201812VOTE01_A9: 在鬥技場獲勝。
MID_MISSION_S201812VOTE01_A10: 在鬥技場獲勝
MID_MISSION_H_S201812VOTE01_A10: 在鬥技場獲勝。
MID_MISSION_S201812VOTE01_A11: 在鬥技場(中級以上)獲勝
MID_MISSION_H_S201812VOTE01_A11: 在鬥技場(中級以上)獲勝。
MID_MISSION_S201812VOTE01_A12: 在鬥技場(中級以上)獲勝
MID_MISSION_H_S201812VOTE01_A12: 在鬥技場(中級以上)獲勝。
MID_MISSION_S201812VOTE01_A13: 特殊:在投票大戰獲勝
MID_MISSION_H_S201812VOTE01_A13: 我軍內有赤屬性成員，\n過關投票大戰。
MID_MISSION_S201812VOTE01_A14: 特殊:在投票大戰獲勝
MID_MISSION_H_S201812VOTE01_A14: 我軍內有青屬性成員，\n過關投票大戰。
MID_MISSION_S201812VOTE01_A15: 特殊:在投票大戰獲勝
MID_MISSION_H_S201812VOTE01_A15: 我軍內有綠屬性成員，\n過關投票大戰。
MID_MISSION_S201812VOTE01_A16: 特殊:在投票大戰獲勝
MID_MISSION_H_S201812VOTE01_A16: 我軍內有無屬性成員，\n過關投票大戰。
MID_MISSION_S201812VOTE01_A17: 特殊:在投票大戰獲勝
MID_MISSION_H_S201812VOTE01_A17: 我軍內有赤屬性成員，\n過關投票大戰。
MID_MISSION_S201812VOTE01_A18: 特殊:在投票大戰獲勝
MID_MISSION_H_S201812VOTE01_A18: 我軍內有青屬性成員，\n過關投票大戰。
MID_MISSION_S201812VOTE01_A19: 特殊:在投票大戰獲勝
MID_MISSION_H_S201812VOTE01_A19: 我軍內有綠屬性成員，\n過關投票大戰。
MID_MISSION_S201812VOTE01_A20: 特殊:在投票大戰獲勝
MID_MISSION_H_S201812VOTE01_A20: 我軍內有無屬性成員，\n過關投票大戰。
MPID_HONOR_フリーズ: 冰刃王子
MPID_H_フリーズ: 冰之王國尼福爾的第一王子。\n性格相當冷靜，時常反覆思考各種危險情況。
MPID_VOICE_フリーズ: 松岡禎丞(Yoshitsugu Matsuoka)
MPID_ILLUST_フリーズ: 前嶋重機(Shigeki Maeshima)
MPID_LEGEND_フリーズ: 傳承效果：「風」　我方ＨＰ＋３、防守＋４\n在「風」的季節時，\n被賦予「風」的祝福的夥伴，\n與此英雄一起出擊，將會獲得傳承效果加持。
MSID_ギョッル: 吉歐爾
MSID_凍結の封印: 凍結之封印
MSID_H_ギョッル: 攻擊＋３\n敵方處於不利的異常狀態時，\n自己必定可進行追擊，但敵方無法追擊\n（不利的異常狀態：\n　「直到敵人下次行動結束」的所有效果\n　弱化、移動限制、慌亂、無法反擊、強化互克等）
MSID_H_凍結の封印: 回合開始時，若自身ＨＰ高於５０％，\n敵軍內魔防最低的敵人攻擊及速度－６\n（直到敵人下次行動結束）
MID_STAGE_HONOR_L0009: 冰刃王子
MID_STAGE_L0009: 佛利茲
MID_STAGE_TITLE_PB036: 技能篇３６
MID_STAGE_PB036: 尼福爾的封印之力
MID_STAGE_TITLE_PC019: 超難題１９
MID_STAGE_PC019: 幻惑的托里連瑪
